City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Urucará,-2.5364,-57.76,86.77,60,83,5.23,BR,1643732699
Muli,2.9167,73.5667,83.55,74,39,14.45,MV,1643732700
Yellowknife,62.456,-114.3525,-27.58,75,0,9.22,CA,1643732456
Cabedelo,-6.9811,-34.8339,88.47,64,13,12.82,BR,1643732700
Union,40.6334,-74.2663,36.27,57,0,5.75,US,1643732436
Vaini,-21.2,-175.2,75.36,94,20,3.44,TO,1643732476
Setermoen,68.861,18.3486,9.1,85,84,9.78,NO,1643732701
Khatanga,71.9667,102.5,-34.67,100,20,3.58,RU,1643732655
Río Gallegos,-51.6226,-69.2181,57.25,24,75,49.48,AR,1643732701
Saldanha,-33.0117,17.9442,75.25,82,19,11.03,ZA,1643732786
Lishui,28.4604,119.9103,38.21,98,100,2.28,CN,1643732786
Cherskiy,68.75,161.3,-6.07,81,100,1.72,RU,1643732787
Rikitea,-23.1203,-134.9692,77.83,68,28,7.78,PF,1643732398
Kapaa,22.0752,-159.319,65.12,75,75,5.75,US,1643732473
Mar del Plata,-38.0023,-57.5575,78.82,50,0,25.01,AR,1643732208
Albany,42.6001,-73.9662,33.67,53,7,5.01,US,1643732443
Yar-Sale,66.8333,70.8333,-15.74,99,67,6.82,RU,1643732787
Bluff,-46.6,168.3333,61.81,92,56,9.04,NZ,1643732398
Yulara,-25.2406,130.9889,67.84,100,100,11.5,AU,1643732788
Tahoua,14.8888,5.2692,82.38,6,1,6.91,NE,1643732788
Hermanus,-34.4187,19.2345,81.9,76,3,6.58,ZA,1643732405
Kavaratti,10.5669,72.642,80.82,69,5,7.76,IN,1643732788
Barrow,71.2906,-156.7887,-14.78,76,0,0.0,US,1643732408
Chui,-33.6971,-53.4616,74.86,38,0,3.91,UY,1643732789
Ushuaia,-54.8,-68.3,46.02,81,75,29.93,AR,1643732402
Hobart,-42.8794,147.3294,52.05,59,55,4.0,AU,1643732400
Lemon Tree Passage,-32.7327,152.036,75.9,92,100,1.01,AU,1643732789
Punta Arenas,-53.15,-70.9167,51.82,57,40,35.68,CL,1643732162
Faanui,-16.4833,-151.75,81.07,74,7,18.68,PF,1643732790
Lincoln,40.8,-96.667,36.14,54,0,7.0,US,1643732557
Ailigandí,9.2333,-78.0167,79.86,72,98,7.54,PA,1643732790
Hilo,19.7297,-155.09,67.62,83,100,6.91,US,1643732277
Fort-Shevchenko,44.5086,50.263,38.71,87,69,6.35,KZ,1643732790
Sørland,67.667,12.6934,30.06,54,100,22.97,NO,1643732405
Cape Town,-33.9258,18.4232,83.08,45,20,1.99,ZA,1643732211
Sakakah,29.9697,40.2064,54.97,39,0,6.38,SA,1643732791
Hasaki,35.7333,140.8333,36.0,50,2,20.8,JP,1643732407
Bredasdorp,-34.5322,20.0403,76.28,49,1,12.62,ZA,1643732482
Yārāda,17.65,83.2667,73.72,83,20,2.3,IN,1643732791
Tiksi,71.6872,128.8694,-17.01,100,100,3.53,RU,1643732792
Busselton,-33.65,115.3333,62.04,59,0,20.58,AU,1643732478
Bouca,6.5105,18.2733,92.88,11,5,3.47,CF,1643732792
Abu Samrah,35.3029,37.1841,50.95,71,46,7.18,SY,1643732793
Huarmey,-10.0681,-78.1522,75.42,72,26,9.86,PE,1643732793
Henties Bay,-22.116,14.2845,73.85,68,67,8.86,NA,1643732793
Port Blair,11.6667,92.75,75.24,83,40,2.3,IN,1643732511
Talnakh,69.4865,88.3972,6.21,95,100,9.26,RU,1643732794
Merauke,-8.4667,140.3333,77.79,83,100,9.17,ID,1643732705
Dajal,29.5577,70.3762,63.16,25,0,1.95,PK,1643732854
George Town,5.4112,100.3354,85.93,79,20,4.61,MY,1643732416
Avarua,-21.2078,-159.775,78.85,83,20,11.5,CK,1643732478
Mehamn,71.0357,27.8492,21.38,62,0,9.22,NO,1643732855
Kargasok,59.0556,80.8572,20.14,94,100,8.63,RU,1643732855
Port Alfred,-33.5906,26.891,78.8,78,100,11.59,ZA,1643732484
Ribeira Grande,38.5167,-28.7,63.0,72,20,23.02,PT,1643732472
Airai,-8.9266,125.4092,61.07,86,85,3.62,TL,1643732475
Mataura,-46.1927,168.8643,61.48,95,42,4.03,NZ,1643732275
Saint-Philippe,-21.3585,55.7679,81.95,86,54,17.69,RE,1643732338
Riyadh,24.6877,46.7219,62.74,19,0,14.54,SA,1643732687
Saskylakh,71.9167,114.0833,-27.92,100,50,1.43,RU,1643732745
Sorong,-0.8833,131.25,79.79,77,100,10.65,ID,1643732856
Bethel,41.3712,-73.414,33.89,57,0,3.44,US,1643732856
Laguna,38.421,-121.4238,50.29,55,0,5.99,US,1643732857
Fortuna,40.5982,-124.1573,38.32,85,0,8.05,US,1643732857
Upernavik,72.7868,-56.1549,-16.64,78,100,5.46,GL,1643732857
Okha,53.5739,142.9478,2.48,92,99,20.09,RU,1643732858
Verkhotur'ye,58.8627,60.8054,27.18,92,100,8.77,RU,1643732858
Porbandar,21.6422,69.6093,72.46,72,0,10.18,IN,1643732858
Atuona,-9.8,-139.0333,78.19,77,15,20.69,PF,1643732398
Tuatapere,-46.1333,167.6833,61.83,94,79,8.05,NZ,1643732859
Lorengau,-2.0226,147.2712,78.58,85,100,12.37,PG,1643732859
Diffa,13.3154,12.6113,74.68,16,4,11.59,NE,1643732859
Asău,46.4333,26.4,33.4,86,100,0.96,RO,1643732860
Kudahuvadhoo,2.6708,72.8944,82.71,76,45,15.32,MV,1643732860
Moree,-29.4667,149.85,77.02,83,100,0.0,AU,1643732860
Mazagão,-0.115,-51.2894,89.65,84,64,4.12,BR,1643732861
